t_ps,event,calib,p_valid,p_ready,p_data,ld_st,ld_name,ld_busy,ld_out,ui_st,ui_name,ui_out,ui_busy,p_en,p_rdy,p_wren,p_wdf_rdy,app_en,app_rdy,app_wdf_wren,app_wdf_rdy,app_rdv,mux_g,qsc,debug_clear,load_ack,load_reject,reason,agen,ack_d,st_valid_ui
4026406000,LD_ST,1,0,0,00000000,12,CRC_WAIT,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4026419000,LD_ST,1,0,0,00000000,2,DEC,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4026431000,LD_ST,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
4066394000,P_FIRE,1,1,1,00200002,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
4066406000,LD_ST,1,0,1,00200002,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4106394000,P_FIRE,1,1,1,00000800,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4146394000,P_FIRE,1,1,1,00000000,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4186394000,P_FIRE,1,1,1,00000010,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4226394000,P_FIRE,1,1,1,00010004,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4266394000,P_FIRE,1,1,1,00000004,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4306394000,P_FIRE,1,1,1,785bb750,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4346394000,P_FIRE,1,1,1,4e414931,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4386394000,P_FIRE,1,1,1,00000000,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4386406000,LD_ST,1,0,0,00000000,12,CRC_WAIT,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
4386419000,LD_ST,1,0,0,00000000,2,DEC,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
